"City","homes_sold","avg_list_price","avg_sold_price","avg_sale_to_list_pct","avg_pct_diff_from_list"
Kensington,31,1322581.0,1716319.0,130.6,30.6
Piedmont,63,2740257.0,3366596.0,127.8,27.8
Berkeley,280,1353582.0,1673057.0,124.6,24.6
Albany,42,1060071.0,1339175.0,124.3,24.3
El Cerrito,69,979027.0,1180835.0,120.5,20.5
Oakland,1011,878327.0,1009162.0,112.1,12.1
Cerritos,110,1117055.0,1183231.0,110.7,10.7
San Mateo,223,1649058.0,1777503.0,109.9,9.9
Alameda,191,1073257.0,1177578.0,108.5,8.5
South San Francisco,55,1121847.0,1212129.0,107.7,7.7
San Francisco,184,1291273.0,1403543.0,107.6,7.6
Los Altos,51,4062541.0,4364228.0,107.1,7.1
South Pasadena,60,1985867.0,2093080.0,106.9,6.9
Millbrae,37,1585392.0,1704568.0,106.4,6.4
Burlingame,63,2618855.0,2776570.0,106.1,6.1
Sunnyvale,225,1872347.0,2003859.0,105.9,5.9
Menlo Park,96,3096014.0,3255812.0,105.7,5.7
Covina,184,793616.0,839486.0,105.4,5.4
San Bruno,56,1174091.0,1239082.0,105.1,5.1
Belmont,38,2102519.0,2194487.0,104.9,4.9
Palo Alto,133,3694170.0,3795664.0,104.9,4.9
Cupertino,60,3058457.0,3206793.0,104.8,4.8
Mountain View,123,1927203.0,2027406.0,104.8,4.8
Castro Valley,152,1151675.0,1192239.0,104.6,4.6
Redwood City,165,2023830.0,2120985.0,104.6,4.6
San Carlos,89,2378184.0,2499308.0,104.6,4.6
Richmond,269,636393.0,667486.0,104.4,4.4
San Leandro,196,789653.0,827658.0,104.4,4.4
Pacifica,67,1265359.0,1312032.0,104.2,4.2
La Crescenta,70,1374508.0,1428995.0,104.1,4.1
Santa Clara,145,1519226.0,1584168.0,104.0,4.0
Daly City,61,1094944.0,1136693.0,103.9,3.9
Union City,113,1229971.0,1281367.0,103.8,3.8
San Lorenzo,61,766775.0,793982.0,103.7,3.7
Campbell,56,1738550.0,1804643.0,103.5,3.5
Rosemead,62,905721.0,937999.0,103.5,3.5
San Marino,44,3553793.0,3563566.0,103.3,3.3
Alamo,72,3060799.0,3100875.0,103.2,3.2
San Gabriel,112,1241236.0,1274294.0,102.9,2.9
San Jose,1316,1436875.0,1480914.0,102.9,2.9
Fremont,442,1531549.0,1582382.0,102.8,2.8
La Canada Flintridge,69,2581326.0,2634993.0,102.8,2.8
Pasadena,487,1480816.0,1510209.0,102.8,2.8
Huntington Park,22,706258.0,720814.0,102.6,2.6
Brea,120,1165966.0,1186796.0,102.5,2.5
Montrose,11,1049450.0,1074932.0,102.5,2.5
El Sobrante,33,699830.0,719576.0,102.4,2.4
Milpitas,91,1281610.0,1306835.0,102.4,2.4
Glendale,326,1296951.0,1326970.0,102.3,2.3
Hayward,321,925553.0,944194.0,102.2,2.2
Lafayette,135,2282175.0,2332433.0,102.2,2.2
Newark,115,1267874.0,1298611.0,102.1,2.1
Westminster,134,1112689.0,1133702.0,102.1,2.1
Lodi,11,623699.0,640682.0,102.0,2.0
Emeryville,63,536317.0,549651.0,101.9,1.9
Moraga,69,1691275.0,1729690.0,101.9,1.9
Saratoga,66,3822479.0,3915083.0,101.9,1.9
Foster City,59,1475704.0,1517201.0,101.8,1.8
Hercules,45,679416.0,692610.0,101.8,1.8
Alhambra,121,935736.0,952633.0,101.7,1.7
Clayton,67,1092653.0,1108793.0,101.6,1.6
Garden Grove,274,946482.0,959501.0,101.6,1.6
Pinole,45,739704.0,753182.0,101.6,1.6
East Palo Alto,17,1122238.0,1137714.0,101.5,1.5
Livermore,323,1264184.0,1281785.0,101.5,1.5
Temple City,78,1282897.0,1288654.0,101.5,1.5
Atherton,10,9331195.0,9369989.0,101.4,1.4
Benicia,21,657635.0,666333.0,101.4,1.4
Duarte,50,753567.0,762120.0,101.4,1.4
Los Gatos,139,2643439.0,2662512.0,101.4,1.4
Martinez,167,798136.0,807877.0,101.4,1.4
Paramount,50,624814.0,633495.0,101.4,1.4
San Pablo,62,538641.0,547216.0,101.4,1.4
Soquel,18,1349444.0,1364361.0,101.4,1.4
Culver City,139,1365280.0,1387312.0,101.3,1.3
Lynwood,46,714692.0,723761.0,101.3,1.3
Norwalk,156,719557.0,730201.0,101.3,1.3
Santa Cruz,154,1592698.0,1600691.0,101.3,1.3
Bay Point,36,545459.0,552150.0,101.2,1.2
Fountain Valley,141,1372088.0,1386713.0,101.2,1.2
Sun Valley,59,903286.0,912771.0,101.2,1.2
Altadena,95,1491953.0,1493702.0,101.1,1.1
Concord,436,758042.0,764613.0,101.1,1.1
Fullerton,365,1126562.0,1134312.0,101.1,1.1
Hillsborough,25,7321845.0,7274985.0,101.1,1.1
Pittsburg,149,598260.0,602610.0,101.1,1.1
San Fernando,60,785283.0,791635.0,101.1,1.1
Sunland,61,954765.0,962770.0,101.1,1.1
Burbank,277,1237272.0,1245960.0,101.0,1.0
Gardena,153,767507.0,772894.0,101.0,1.0
Carson,160,791565.0,798521.0,100.9,0.9
