"city","active_listings","avg_active_price","avg_historical_sold","ratio"
Glen Ellen,1,11249000,975000.0,11.54
Point Arena,1,3995000,415000.0,9.63
Shandon,6,3984000,492250.0,8.09
Oak Glen,7,5418129,725000.0,7.47
Sky Valley,1,1424999,210000.0,6.79
Westwood,2,662000,98667.0,6.71
Twentynine Palms,9,1460544,222375.0,6.57
Carpinteria,16,18332062,3354200.0,5.47
Sonoma,7,6526129,1208333.0,5.4
Oro Grande,2,1589500,307500.0,5.17
Snelling,4,1861250,369000.0,5.04
North Edwards,2,804750,160000.0,5.03
Stanford,2,3875000,770000.0,5.03
Escalon,1,2798888,590425.0,4.74
Salton City,7,357771,77000.0,4.65
Bel Air,2,15450000,3624500.0,4.26
Creston,4,3158750,771000.0,4.1
Janesville,1,1800000,452500.0,3.98
Thermal,47,1451858,373257.0,3.89
Potter Valley,2,992354,260000.0,3.82
Elk,2,4787500,1270000.0,3.77
Friant,3,2210000,594400.0,3.72
Stevinson,2,2447500,675000.0,3.63
San Simeon,4,4800975,1398583.0,3.43
Santa Ynez,21,10922429,3185040.0,3.43
Other,45,1793451,524500.0,3.42
Kerman,1,1250000,385148.0,3.25
Etna,1,589000,185500.0,3.18
Unknown,1,1000000,315000.0,3.17
West Los Angeles,3,1876333,600000.0,3.13
Burson,1,1395000,450000.0,3.1
Bloomington,19,1806258,588168.0,3.07
Dinuba,1,1400000,456750.0,3.07
Lake Hughes,20,1297776,423375.0,3.07
Los Olivos,6,4155667,1375000.0,3.02
Somis,8,5926681,1982388.0,2.99
Dunsmuir,1,750000,255000.0,2.94
Manchester,6,1139000,390000.0,2.92
Shaver Lake,3,783333,269900.0,2.9
Sausalito,2,2612500,910167.0,2.87
Fairfield,48,1841117,654294.0,2.81
Summerland,4,24730000,8927500.0,2.77
Hidden Hills,34,13971529,5196000.0,2.69
Fortuna,2,1060000,400000.0,2.65
Willits,5,815480,310097.0,2.63
Unincorporated,1,495000,190000.0,2.61
Kings Beach,1,1499500,580000.0,2.59
Moss Landing,7,2330857,915000.0,2.55
Big River,17,383982,150878.0,2.54
Paicines,3,2191300,863333.0,2.54
Pala,3,1483000,590000.0,2.51
Los Altos Hills,19,12733520,5151174.0,2.47
Trona,18,113927,46575.0,2.45
Bass Lake,31,1351832,556143.0,2.43
Placerville,1,1100000,458500.0,2.4
Caliente,7,451250,189000.0,2.39
Bradley,27,1537626,645929.0,2.38
Hillsborough,18,17306500,7274985.0,2.38
Fawnskin,31,1026451,435934.0,2.35
Westport,5,1553400,659667.0,2.35
Cottonwood,7,848286,366250.0,2.32
Lincoln Heights,1,1549000,668000.0,2.32
Needles,35,394251,173529.0,2.27
Albion,4,1045500,463594.0,2.26
Stonyford,2,259450,115000.0,2.26
Linden,1,1350000,599000.0,2.25
Diablo,4,10147000,4535714.0,2.24
Edwards,7,291414,130000.0,2.24
Le Grand,4,940725,420375.0,2.24
